variant,max_pos,max_back_levels,rung_spacing_mult,place_thresh,pred_momentum_coef,curv_impulse_coef,premium_ema_coef,premium_tdc_s,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
187,24,6,1,0.0001,0,0.5,0.2,30,1,2240.96,2290.59,49.62,0.93,628,4248.59
188,8,10,1,0.0001,0,0.5,0.2,30,1,2289.78,2339.06,49.28,0.95,623,4308.13
189,10,10,1,0.0001,0,0.5,0.2,30,1,2347.00,2397.13,50.13,0.98,630,4550.30
190,16,10,1,0.0001,0,0.5,0.2,30,1,2307.87,2357.76,49.89,0.93,630,4653.60
191,24,10,1,0.0001,0,0.5,0.2,30,1,2318.22,2368.01,49.79,0.94,627,4422.58
192,8,3,2,0.0001,0,0.5,0.2,30,1,2042.89,2087.43,44.54,0.87,563,3183.84
193,10,3,2,0.0001,0,0.5,0.2,30,1,2111.62,2156.23,44.61,0.95,563,3957.31
194,16,3,2,0.0001,0,0.5,0.2,30,1,2075.23,2119.69,44.46,0.95,563,3840.70
195,24,3,2,0.0001,0,0.5,0.2,30,1,2047.17,2091.68,44.51,0.95,561,3816.11
196,8,6,2,0.0001,0,0.5,0.2,30,1,2150.43,2196.46,46.03,0.96,581,4187.67
197,10,6,2,0.0001,0,0.5,0.2,30,1,2217.20,2263.60,46.41,0.95,582,4145.93
198,16,6,2,0.0001,0,0.5,0.2,30,1,2212.28,2258.60,46.32,0.98,581,4287.69
199,24,6,2,0.0001,0,0.5,0.2,30,1,2130.53,2176.69,46.16,0.97,582,4186.38
200,8,10,2,0.0001,0,0.5,0.2,30,1,2137.22,2183.37,46.15,0.96,581,4029.92
201,10,10,2,0.0001,0,0.5,0.2,30,1,2183.06,2229.26,46.19,0.96,581,4171.05
202,16,10,2,0.0001,0,0.5,0.2,30,1,2117.55,2164.05,46.51,0.97,586,4307.62
203,24,10,2,0.0001,0,0.5,0.2,30,1,2096.25,2142.20,45.94,0.90,582,3776.43
204,8,3,4,0.0001,0,0.5,0.2,30,1,1519.67,1557.31,37.64,0.88,458,2707.82
205,10,3,4,0.0001,0,0.5,0.2,30,1,1582.69,1620.37,37.68,0.82,459,2642.53
206,16,3,4,0.0001,0,0.5,0.2,30,1,1519.03,1556.85,37.82,0.82,460,2204.82
207,24,3,4,0.0001,0,0.5,0.2,30,1,1578.88,1616.75,37.87,0.81,462,2717.86
208,8,6,4,0.0001,0,0.5,0.2,30,1,1667.78,1705.87,38.09,0.82,467,2794.62
209,10,6,4,0.0001,0,0.5,0.2,30,1,1608.00,1646.13,38.13,0.84,467,2972.38
