variant  place_thresh  max_pos  max_back_levels  cross_thresh  cross_limit_maxpos_frac  cancel_buffer  premium_ema_coef  pred_momentum_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
357      0.0003        400      7                0.0045        0.2                      0.1            0.5               0                   0                  0.5                   3358.58  3381.86         23.28     2.80    666       9267.86
309      0.0003        400      7                0.0015        0.4                      0.1            0.2               0                   0                  0.5                   3771.99  3831.73         59.74     1.40    1009      9276.32
48       0.00025       400      4                0.0045        0.4                      0.1            0                 0                   0                  0.35                  3093.67  3121.94         28.28     3.78    820       9285.00
388      0.00025       400      10               0.003         0.1                      0.1            0.8               0                   0                  0.5                   3432.03  3461.09         29.05     2.22    805       9292.44
171      0.0003        400      7                0.003         0.1                      0.1            0.8               0                   0                  0.35                  3091.06  3117.38         26.31     2.21    711       9301.78
224      0.00025       400      7                0.003         0.1                      0.1            0                 0                   0                  0.5                   3400.84  3429.50         28.65     2.22    795       9303.44
291      0.0003        400      7                0.0015        0.2                      0.1            0.2               0                   0                  0.5                   3573.28  3624.81         51.53     1.81    955       9311.73
152      0.00025       400      7                0.003         0.4                      0.1            0.5               0                   0                  0.35                  3281.55  3312.85         31.29     3.09    838       9314.54
264      0.00025       400      4                0.0045        0.4                      0.1            0                 0                   0                  0.5                   3076.08  3103.53         27.46     3.22    793       9330.33
329      0.0003        400      10               0.0015        0.1                      0.1            0.5               0                   0                  0.5                   3828.05  3873.87         45.82     1.79    906       9334.11
217      0.0003        400      4                0.0015        0.1                      0.1            0                 0                   0                  0.5                   3325.95  3371.54         45.58     2.06    896       9335.27
354      0.00025       400      4                0.0045        0.2                      0.1            0.5               0                   0                  0.5                   3052.45  3079.49         27.04     2.73    788       9337.64
109      0.0003        400      4                0.0015        0.1                      0.1            0.5               0                   0                  0.35                  3642.41  3690.30         47.88     2.27    935       9357.86
46       0.00025       400      10               0.003         0.4                      0.1            0                 0                   0                  0.35                  3459.23  3490.37         31.14     2.81    833       9365.00
21       0.0003        400      7                0.0015        0.2                      0.1            0                 0                   0                  0.35                  3827.48  3879.10         51.62     1.85    975       9365.85
145      0.0003        400      4                0.0015        0.4                      0.1            0.5               0                   0                  0.35                  3493.60  3553.86         60.26     1.59    1046      9371.83
190      0.00025       400      10               0.003         0.2                      0.1            0.8               0                   0                  0.35                  3420.17  3450.93         30.76     2.72    837       9381.04
149      0.0003        400      10               0.0015        0.4                      0.1            0.5               0                   0                  0.35                  3869.56  3929.72         60.16     1.51    1044      9381.67
175      0.0003        400      4                0.0045        0.1                      0.1            0.8               0                   0                  0.35                  3145.77  3170.22         24.46     4.20    700       9386.14
170      0.00025       400      7                0.003         0.1                      0.1            0.8               0                   0                  0.35                  3241.46  3271.16         29.71     3.36    825       9387.43
239      0.0003        400      10               0.0015        0.2                      0.1            0                 0                   0                  0.5                   3816.72  3867.71         51.00     1.77    946       9405.26
