variant,place_thresh,cancel_buffer,max_pos,max_back_levels,order_decrease_coef,cross_thresh,cross_limit_maxpos_frac,premium_ema_coef,pred_momentum_coef,curv_impulse_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
208,0.000175,0.1,80,4,0.7,0.0045,0.4,0,0,0,0.25,523.09,533.40,10.31,1.33,642,1094.77
209,0.000225,0.1,80,4,0.7,0.0045,0.4,0,0,0,0.25,465.67,474.90,9.23,1.08,574,893.11
210,0.00025,0.1,80,4,0.7,0.0045,0.4,0,0,0,0.25,486.44,495.34,8.90,1.19,556,912.39
211,0.0003,0.1,80,4,0.7,0.0045,0.4,0,0,0,0.25,487.06,495.09,8.03,1.56,504,1034.76
212,0.000175,0.1,80,8,0.7,0.0045,0.4,0,0,0,0.25,497.94,508.29,10.35,1.20,640,993.55
213,0.000225,0.1,80,8,0.7,0.0045,0.4,0,0,0,0.25,541.52,550.69,9.17,1.30,575,1068.13
214,0.00025,0.1,80,8,0.7,0.0045,0.4,0,0,0,0.25,529.33,537.99,8.67,1.34,549,1036.39
215,0.0003,0.1,80,8,0.7,0.0045,0.4,0,0,0,0.25,552.85,560.95,8.10,1.39,503,1044.43
216,0.000175,0.1,80,4,0.2,0.0015,0.1,0.2,0,0,0.25,766.21,783.62,17.42,1.94,748,1776.16
217,0.000225,0.1,80,4,0.2,0.0015,0.1,0.2,0,0,0.25,753.12,769.68,16.56,1.89,690,1696.22
